,pretty_formula,spacegroup,material_id,e_above_hull,band_gap,elements,tolerance
233,Cs2RbAsBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112134,0.0,3.0927,"['As', 'Br', 'Rb']",['4.176235053553516']
235,Cs2NaInCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-989571,0.0,3.1233,"['Cl', 'In', 'Na']",['4.012229079104603']
244,Cs2LiInCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'R-3m', 'number': 166, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-R 3 2""'}",mp-571527,0.0,3.2284,"['Cl', 'In', 'Li']",['4.133370208769357']
246,Cs2RbAlBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112531,0.0655660662499992,3.2316000000000003,"['Al', 'Br', 'Rb']",['4.17878380197433']
254,Cs2KGaCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113050,0.0523498575000003,3.3618,"['Cl', 'Ga', 'K']",['4.012696755725093']
257,Cs2KSbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112716,0.0122465540000011,3.4088,"['Cl', 'K', 'Sb']",['4.102121891124065']
258,Cs2ScAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112622,0.0,3.4125,"['Ag', 'Cl', 'Sc']",['4.012806826466352']
259,Cs2RbGaCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112517,0.0616348784999987,3.471,"['Cl', 'Ga', 'Rb']",['4.0355942957252555']
260,Cs2KAsCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112625,0.0214673309999988,3.4842,"['As', 'Cl', 'K']",['4.013865144805276']
261,Cs2RbAsCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112007,0.032604126999999,3.4902,"['As', 'Cl', 'Rb']",['4.0164796824876525']
266,Cs2KInCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112759,0.0,3.6013,"['Cl', 'In', 'K']",['4.152837277946115']
267,Cs2LiBiCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113024,0.0090494863333328,3.6054,"['Bi', 'Cl', 'Li']",['4.016992918023442']
268,Cs2ScTlCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112000,0.0044642239999994,3.61,"['Cl', 'Sc', 'Tl']",['4.16692817145068']
271,Cs2LuAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113542,0.0,3.7426,"['Ag', 'Cl', 'Lu']",['4.06033521121908']
274,Cs2TmAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113440,0.0,3.775,"['Ag', 'Cl', 'Tm']",['4.074443823895807']
276,Cs2NaBiCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1080041,0.0,3.7845,"['Bi', 'Cl', 'Na']",['4.103601466557032']
277,Cs2ErAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113595,0.0,3.8081,"['Ag', 'Cl', 'Er']",['4.082566255203214']
278,Cs2DyAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113610,0.0,3.8325,"['Ag', 'Cl', 'Dy']",['4.102121891124065']
279,Cs2TbAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112937,0.0,3.8468,"['Ag', 'Cl', 'Tb']",['4.11276836057715']
283,Cs2SmAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112939,0.0,3.8839,"['Ag', 'Cl', 'Sm']",['4.150503031238438']
284,Cs2YAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113432,0.0,3.905,"['Ag', 'Cl', 'Y']",['4.091167958387177']
286,Cs2AlTlCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112505,0.0407678682500001,3.9489,"['Al', 'Cl', 'Tl']",['4.013583374348323']
287,Cs2NaScCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1111988,0.0,3.9499,"['Cl', 'Na', 'Sc']",['4.023163804682872']
303,Cs2LiLaCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112681,0.0169060420000013,4.4672,"['Cl', 'La', 'Li']",['4.016668217492301']
304,Cs2NaLaCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1080017,0.0038075360000009,4.6384,"['Cl', 'La', 'Na']",['4.1052924911054305']
305,Cs2KAlCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113059,0.033297902250001,4.6578,"['Al', 'Cl', 'K']",['4.0312480065254235']
306,Cs2RbAlCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112525,0.0424879002500007,4.6799,"['Al', 'Cl', 'Rb']",['4.012445381153935']
309,Cs2LiPrCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112674,0.0138354535000022,4.7988,"['Cl', 'Li', 'Pr']",['4.02571680575773']
310,Cs2LiNdCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112678,0.0,4.8256000000000006,"['Cl', 'Li', 'Nd']",['4.02769058143572']
313,Cs2LiSmCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112671,0.0,4.8979,"['Cl', 'Li', 'Sm']",['4.035867441738351']
318,Cs2NaPrCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112143,0.0,5.008100000000001,"['Cl', 'Na', 'Pr']",['4.072944651406661']
319,Cs2NaNdCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112006,0.0,5.0403,"['Cl', 'Na', 'Nd']",['4.068200317958328']
320,Cs2LiTbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112669,0.0,5.042000000000001,"['Cl', 'Li', 'Tb']",['4.05038685780144']
324,Cs2LiDyCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113018,0.0,5.0902,"['Cl', 'Dy', 'Li']",['4.055721413738166']
326,Cs2NaSmCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-580541,0.0,5.1087,"['Cl', 'Na', 'Sm']",['4.05277325488503']
327,Cs2NaYCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-23120,0.0,5.1215,"['Cl', 'Na', 'Y']",['4.02622815790257']
330,Cs2LiErCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112613,0.0,5.1836,"['Cl', 'Er', 'Li']",['4.067544704393708']
334,Cs2NaTbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-568670,0.0,5.251099999999999,"['Cl', 'Na', 'Tb']",['4.03519202869988']
336,Cs2LiTmCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112998,0.0,5.2584,"['Cl', 'Li', 'Tm']",['4.073442108956015']
