,pretty_formula,spacegroup,material_id,e_above_hull,band_gap,elements,tolerance
267,Cs2AgBiBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1078250,0.0010797496875003,1.6215,"['Ag', 'Bi', 'Br', 'Cs']",[4.3846607925917365]
268,Rb2NaMoCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114446,0.0,1.6325999999999998,"['Cl', 'Mo', 'Na', 'Rb']",[4.20599571343072]
269,Rb2NaGaBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1110631,0.0839249945000006,1.6327,"['Br', 'Ga', 'Na', 'Rb']",[4.415130487526707]
270,Rb2AgSbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113695,0.0,1.642,"['Ag', 'Cl', 'Rb', 'Sb']",[4.28117647172389]
271,Cs2KMoBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113043,0.0333229743541658,1.6471,"['Br', 'Cs', 'K', 'Mo']",[4.193703313427411]
272,Rb2LiRhCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'P-3m1', 'number': 164, 'point_group': '-3m', 'crystal_system': 'trigonal', 'hall': '-P 3 2""'}",mp-1206187,0.0,1.6499,"['Cl', 'Li', 'Rb', 'Rh']",[4.359613758250662]
273,Rb2TlBiBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114472,0.0447909923749985,1.6667999999999998,"['Bi', 'Br', 'Rb', 'Tl']",[6.654773683126947]
274,Cs2NaMoCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112538,0.0039994622083323,1.6672999999999998,"['Cl', 'Cs', 'Mo', 'Na']",[4.0489731103959885]
275,Rb2TlGaBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114606,0.0896496834999989,1.6747,"['Br', 'Ga', 'Rb', 'Tl']",[4.4965605670247015]
276,Cs2AgSbCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112940,0.0,1.6771,"['Ag', 'Cl', 'Cs', 'Sb']",[4.015095595461377]
277,Cs2KMoCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113042,0.0056126712083326,1.6914000000000002,"['Cl', 'Cs', 'K', 'Mo']",[4.039984447952074]
278,Rb2InBiCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1114523,0.0,1.7024,"['Bi', 'Cl', 'In', 'Rb']",[]
279,CsRb2TlBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113347,0.0950253692499991,1.7062,"['Br', 'Cs', 'Rb', 'Tl']",[6.2093504614476105]
280,Cs2TlBiBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112498,0.0069022185000013,1.7292999999999998,"['Bi', 'Br', 'Cs', 'Tl']",[5.126438519995346]
281,Cs2KAlI6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113057,0.0431809715000004,1.7456,"['Al', 'Cs', 'I', 'K']",[4.485135454602748]
