,material_id,symbols,spin_polarized,bandgap,fermi_energy,is_metal,space_group_number
56,3_scan/mp-1300109,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Fe', 'Sr']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",2.92553228,True,1
57,3_scan/mp-1300189,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Fe', 'K']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",-0.68693123,True,1
58,3_scan/mp-1113595,"['Cs', 'Cs', 'Er', 'Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 4.1845, 'transition': '(0.500,0.000,0.000)-(0.000,0.000,0.000)'}",0.45951319,False,225
59,3_scan/mp-1300094,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'K', 'Mn']",True,"{'direct': False, 'energy': 0.29279999999999995, 'transition': '(0.500,0.000,0.429)-(0.000,0.000,0.000)'}",-1.25679129,False,1
60,3_scan/mp-1300044,"['Ag', 'Au', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs']",True,"{'direct': False, 'energy': 0.6519999999999999, 'transition': '(-0.375,0.000,0.222)-(0.500,0.000,0.222)'}",1.0394305,False,1
61,3_scan/mp-1112988,"['Cs', 'Cs', 'Na', 'Ga', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 3.4090000000000003, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-0.22307214,False,225
62,3_scan/mp-1300180,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Fe', 'Mn']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",3.35648667,True,1
63,3_scan/mp-1300118,"['As', 'Au', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs']",True,"{'direct': False, 'energy': 1.3875000000000002, 'transition': '(-0.500,0.500,0.500)-(0.000,0.500,0.000)'}",1.27180387,False,1
64,3_scan/mp-1300001,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Na', 'Ru']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",1.79448442,True,1
65,3_scan/mp-1300151,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Ni', 'Sn']",True,"{'direct': False, 'energy': 1.6860000000000002, 'transition': '(0.500,0.500,0.000)-(0.500,0.500,0.500)'}",1.85512514,False,1
66,3_scan/mp-1300291,"['Ca', 'Cd', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs']",True,"{'direct': True, 'energy': 4.7201, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-0.80806356,False,1
67,3_scan/mp-1112538,"['Cs', 'Cs', 'Na', 'Mo', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 2.3928000000000003, 'transition': '(0.500,0.500,0.000)-(0.500,0.500,0.000)'}",1.65158235,False,225
68,3_scan/mp-1300222,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Fe', 'Na']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",-0.18662551,True,1
69,3_scan/mp-1112622,"['Cs', 'Cs', 'Sc', 'Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 3.9080999999999997, 'transition': '(0.500,0.000,0.000)-(0.500,0.500,0.000)'}",0.61852556,False,225
70,3_scan/mp-1300179,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Co', 'Cs', 'Cs', 'Sn']",True,"{'direct': False, 'energy': 2.0503, 'transition': '(0.500,0.000,0.500)-(0.500,0.000,0.000)'}",1.86969312,False,1
71,3_scan/mp-1300300,"['Ca', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Fe']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",3.08148342,True,1
72,3_scan/mp-1300070,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Co', 'Cs', 'Cs', 'Hg']",False,"{'energy': 0.0, 'direct': False, 'transition': None}",0.25042748,True,139
73,3_scan/mp-1112998,"['Cs', 'Cs', 'Li', 'Tm', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 6.179799999999999, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-0.6324257,False,225
74,3_scan/mp-1300304,"['Ba', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Sn']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",0.24452827,True,1
75,3_scan/mp-1112937,"['Cs', 'Cs', 'Tb', 'Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 4.2129, 'transition': '(0.500,0.000,0.000)-(0.000,0.000,0.000)'}",0.46282244,False,225
76,3_scan/mp-1112907,"['Cs', 'Cs', 'Hg', 'As', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",False,"{'energy': 0.0, 'direct': False, 'transition': None}",1.69641066,True,71
77,3_scan/mp-1300174,"['Al', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'K']",True,"{'direct': True, 'energy': 5.4838000000000005, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-0.49332496,False,1
78,3_scan/mp-1300170,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'In', 'Na']",True,"{'direct': True, 'energy': 3.7376, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-0.38754609,False,1
